node,description,id,raw
1,MASD-FIP-ICG-L02-01 T4 L02 MFIP,10000,P 10000 P 1
2,MASD-FFCP-ICG-L02-02 T4 MFFCP 1,20000,P 20000 P 1
3,MASD-FFCP-ICG-L02-02 T4 MFFCP 2,30000,P 30000 P 1
4,MASD-FFCP-ICG-L02-02 T4 MFFCP 3,40000,P 40000 P 1
5,MASD-FFCP-ICG-L02-02 T4 MFFCP 4,50000,P 50000 P 1
6,MASD-FFCP-ICG-L02-02 T4 MFFCP 5,60000,P 60000 P 1
7,MASD-FFCP-ICG-L02-02 T4 MFFCP 6,70000,P 70000 P 1
8,MASD-FFCP-ICG-L02-02 T4 MFFCP 7,80000,P 80000 P 1
9,MASD-DGP-ICG-L06M-01 T4 DGP 1,90000,P 90000 P 1
10,MASD-DGP-ICG-L06M-03 T4 DGP 2,100000,P 100000 P 1
11,IT4 DATA GATHERING POINT 1,110000,P 110000 P 1
12,IT4 DATA GATHERING POINT 2,120000,P 120000 P 1
13,HARRIS TCE SUB FIRE PANEL,130000,P 130000 P 1
13,N,130000,P 130000 P 2
14,MASD-SFIP-ICG-L03-01 T1 L03 SFIP,140000,P 140000 P 1
15,MASD-SFIP-ICG-L03-01 T1 L03 SFIP,150000,P 150000 P 1
16,MASD-DGP-ICG-L06M-03 T1 L06M DGP,160000,P 160000 P 1
17,MASD-DGP-IT1-L24-01 T1 L24 DGP,170000,P 170000 P 1
18,MASD-DGP-IT1-L24-02 T1 L24 DGP,180000,P 180000 P 1
19,MASD-GSP-ICG-L00-01 DC2 GAS PANE,190000,P 190000 P 1
20,MASD-GSP-ICG-L00-02 CARRIER GAS ,200000,P 200000 P 1
21,PRINTING BUILDING SUB FIRE PANEL,210000,P 210000 P 1
21,N,210000,P 210000 P 2
22,MASD-SFIP-ICG-L02-02 T2 L02 SFIP,220000,P 220000 P 1
23,MASD-DGP-IT2-L18-01 T2 L18 DGP,230000,P 230000 P 1
24,MASD-SFIP-ICG-L02-03 T3 L02 SFIP,240000,P 240000 P 1
25,MASD-DGP-IT3-L18-01 T3 L18 DGP,250000,P 250000 P 1
26,MASD-GSP-ICG-L00-03 CARRIER GAS,260000,P 260000 P 1
